ROOM,TYPE,BED,VIEW,PS
737,STO,O,CITY,"판매불가, 창문없음"
736,STO,O,CITY,"판매불가, 창문없음"
735,DET,DS,CITY,
733,DET,DS,CITY,
732,DET,DS,CITY,
731,DET,DS,CITY,
730,DET,DS,CITY,EV
729,DET,DS,CITY,EV
728,DET,DS,CITY,
727,DET,DS,CITY,
726,DET,DS,CITY,
725,DET,DS,CITY,
723,DET,DS,CITY,
722,DET,DS,CITY,
721,DFP,DSS,CITY,
720,DET,DS,CITY,끝방
719,DET,DS,OCEAN,"끝방, 유일한 오션뷰 트윈"
718,DET,DS,OCEAN,유일한 오션뷰 트윈
717,STD,D,OCEAN,
716,STD,D,OCEAN,
715,STD,D,OCEAN,
711,JST,DD,OCEAN,비데
710,STD,D,OCEAN,
709,STD,D,OCEAN,
708,STD,D,OCEAN,EV
707,STD,D,OCEAN,계단방
706,STD,D,OCEAN,EV
705,STD,D,OCEAN,
703,STD,D,OCEAN,
702,STD,D,OCEAN,
701,STD,D,OCEAN,끝방
636,STO,O,CITY,"판매불가, 창문없음"
635,STO,O,CITY,"판매불가, 창문없음"
633,DET,DS,CITY,
632,DET,DS,CITY,욕조없음
631,DET,DS,CITY,
630,DET,DS,CITY,
629,DET,DS,CITY,EV
628,DET,DS,CITY,EV
627,DET,DS,CITY,욕조없음
626,DET,DS,CITY,
625,DET,DS,CITY,욕조없음
623,DET,DS,CITY,욕조없음
622,DET,DS,CITY,욕조없음
621,DET,DS,CITY,욕조없음
620,DFP,DSS,CITY,
619,DET,DS,CITY,끝방
618,DET,DS,OCEAN,욕조없음
617,DET,DS,OCEAN,욕조없음
616,STD,D,OCEAN,욕조없음
615,JST,DD,OCEAN,비데
611,JSD,D,OCEAN,비데
610,STD,D,OCEAN,"욕조없음, 비데"
609,STD,D,OCEAN,
608,STD,D,OCEAN,EV
607,STD,D,OCEAN,"계단방, 개별난방, 화장실 좁음"
606,STD,D,OCEAN,EV
605,STD,D,OCEAN,
603,STD,D,OCEAN,
602,STD,D,OCEAN,
601,STD,D,OCEAN,
532,STD,D,CITY,비데
531,STD,D,CITY,비데
530,DED,K,CITY,비데
529,STT,S,CITY,비데
528,DET,DS,CITY,비데
527,DET,SS,CITY,비데
526,DED,K,CITY,"EV,비데"
525,DET,DD,CITY,"EV,비데"
523,DET,DD,CITY,비데
522,DET,DD,CITY,비데
521,DET,DD,CITY,비데
520,DET,DD,CITY,비데
519,DET,DD,CITY,"욕조없음,비데"
518,DET,DD,CITY,"욕조없음,비데"
517,DET,DD,CITY,비데
516,DET,DD,CITY,"끝방,욕조없음,비데"
515,DED,K,OCEAN,"끝방,욕조없음,비데"
512,DED,K,OCEAN,"욕조없음, 비데"
511,STD,D,OCEAN,"욕조없음, 비데"
510,JSD,D,OCEAN,"다소 낡음, 비데"
509,JST,DS,OCEAN,다소 낡음
507,STD,D,OCEAN,비데
506,JSD,D,OCEAN,"다소 낡음, 비데"
505,STD,K,OCEAN,"예외적으로 넓음, 계단"
503,JSD,SS,OCEAN,"다소 낡음, 비데"
502,JSD,SS,OCEAN,"다소 낡음, 비데"
501,STD,D,OCEAN,"욕조없음, 비데"
335,STO,O,CITY,
333,STO,SS,CITY,
332,DET,DD,CITY,비데
331,DET,DD,CITY,비데
330,DET,DD,CITY,비데
329,DET,DD,CITY,비데
328,DED,K,CITY,비데
327,DET,DD,CITY,비데
326,DET,DD,CITY,비데
325,DET,DD,CITY,비데
323,DET,DD,CITY,비데
322,DET,DD,CITY,비데
321,DET,DD,CITY,"욕조없음,비데"
320,DET,DD,CITY,비데
319,DET,DD,CITY,비데
318,DET,DD,CITY,"끝방,비데"
317,DED,K,OCEAN,"끝방,개별난방"
316,DED,K,OCEAN,비데
315,STD,D,OCEAN,비데
312,JSO,DS,OCEAN,비데
311,JST,DS,OCEAN,비데
309,STD,D,OCEAN,비데
307,JSD,D,OCEAN,"비데,판매불가"
306,STD,D,OCEAN,비데
305,JSO,DD,OCEAN,"비데,유일한 판매용 온돌"
303,STD,D,OCEAN,비데
302,STD,D,OCEAN,비데
301,STD,D,OCEAN,비데
235,STO,SS,CITY,
233,STO,SS,CITY,
232,DFP,SSS,CITY,
231,DET,DS,CITY,
230,DET,DS,CITY,
229,STT,DS,CITY,EV
228,STT,DS,CITY,
227,DET,DS,CITY,
226,DET,DS,CITY,
225,DET,DS,CITY,욕조없음
223,DET,DS,CITY,욕조없음
222,DET,DS,CITY,욕조없음
221,DET,DS,CITY,욕조없음
220,DET,DS,CITY,욕조없음
219,DEP,DSS,CITY,
218,DET,DS,CITY,
216,ROS,DS,OCEAN,"넓음,비데"
215,STD,D,OCEAN,욕조없음
212,JST,DS,OCEAN,
211,JST,DS,OCEAN,"비데,욕조없음"
209,STT,SS,OCEAN,
208,STT,SS,OCEAN,
207,STT,SS,OCEAN,
205,PRS,D,OCEAN,"바,비데"
203,STT,SS,OCEAN,
202,STT,SS,OCEAN,
201,STD,D,OCEAN,"끝방,욕조없음"
136,ADT,DS,ANNEXDOWN,"욕조없음,비데,특수비상구"
135,ADT,DS,ANNEXDOWN,
133,ADT,DS,ANNEXDOWN,
132,ADT,DS,ANNEXDOWN,
131,ADT,DS,ANNEXDOWN,
130,ADT,DS,ANNEXDOWN,
129,ADT,DS,ANNEXDOWN,
128,ADT,DD,ANNEXDOWN,
127,ADT,DD,ANNEXDOWN,
126,ADT,DD,ANNEXDOWN,
125,ADT,DD,ANNEXDOWN,
123,ADT,DD,ANNEXDOWN,
122,ADT,DD,ANNEXDOWN,
121,ADT,DD,ANNEXDOWN,
120,ADT,DD,ANNEXDOWN,
119,ADT,DD,ANNEXDOWN,
118,ADT,DD,ANNEXDOWN,
117,ADT,DD,ANNEXDOWN,
115,AJT,DD,ANNEXUP,비데
112,ADT,DD,ANNEXUP,
111,AED,K,ANNEXUP,비데
110,ADT,DD,ANNEXUP,
109,ADT,DS,ANNEXUP,
108,AJT,DD,ANNEXUP,비데
107,AJT,DD,ANNEXUP,비데
106,AJT,DD,ANNEXUP,비데
105,AJT,DD,ANNEXUP,비데
103,ADT,DD,ANNEXUP,
102,ADT,DD,ANNEXUP,
101,ADT,DD,ANNEXUP,
